Occupation Title,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge)
accessibility tester,"accessibility testers evaluate websites, software applications, systems or user interface components with regards to friendliness, operability of the navigation and visibility to all types of users, especially including those with special needs or disabilities.","accessibility testers, accessibility test specialist, usability tester","assess users' interaction with applications, conduct research interview, test system accessibility for users with special needs, address problems critically, report test findings, execute software tests, provide software testing documentation, use experience map, execute user research activities, test for emotional patterns, measure software usability, replicate customer software issues, test for behavioural patterns","World Wide Web Consortium standards, human-computer interaction, application usability, levels of software testing, accessibility standards, behavioural science","design user interface, conduct code review, develop automated software tests, give live presentation, debug software, use scripting programming, develop test suite, use markup languages, manage schedule of tasks","JavaScript, Lean project management, cognitive psychology, debugging tools, MDX, Process-based management, tools for test automation, N1QL, XQuery, AJAX, LINQ, LDAP, Agile project management, web programming, PHP, query languages, resource description framework query language, project management methodologies, SPARQL"
application configurator,"application configurators identify, record, and maintain user-specific application configurations based upon user requirements and business rules. They configure generic software systems in order to create a specific version applied to an organisation's context. These configurations range from adjusting basic parameters through the creation of business rules and roles in the system to developing specific modules (including the configuration of Commercial off-the-shelf systems (COTS)). They also document configurations, perform configuration updates, and ensure the configurations are correctly implemented in the application.","software application configurator, app configurator, application configurators, application software configurator","integrate data, develop automated migration methods, create flowchart diagram, build business relationships, integrate system components, analyse software specifications, migrate existing data, provide technical documentation, debug software, use software design patterns, collect customer feedback on applications, develop software prototype, use software libraries","computer programming, integrated development environment software, debugging tools, tools for software configuration management","use functional programming, use object-oriented programming, use automatic programming, use logic programming, provide consulting advice, create solutions to problems, apply statistical analysis techniques, use concurrent programming, utilise computer-aided software engineering tools","Visual Studio .NET, SAP R3, Perl, COBOL, C#, Eclipse (integrated development environment software), AJAX, Common Lisp, Prolog (computer programming), Assembly (computer programming), ABAP, C++, interfacing techniques, Ruby (computer programming), Scala, Haskell, JavaScript, SAS language, Apache Maven, Pascal (computer programming), ASP.NET, KDevelop, Python (computer programming), Xcode, ML (computer programming), MATLAB, STAF, Puppet (tools for software configuration management), Swift (computer programming), R, Groovy, consultation methods, OpenEdge Advanced Business Language, Salt (tools for software configuration management), Objective-C, legal requirements of products, TypeScript, VBScript, Jenkins (tools for software configuration management), statistics, Lisp, Microsoft Visual C++, Ansible, Java (computer programming), Scratch (computer programming), APL, PHP"
application developer,"application developers implement the (software) applications based on the designs provided using application domain specific languages, tools, platforms and experience.","application software developers, application developer, application software engineer, application designer, app software developer, software programmer","identify customer requirements, create flowchart diagram, debug software, use software libraries, propose solutions to business problems, provide technical documentation, utilise computer-aided software engineering tools, develop software prototype, analyse software specifications, interpret technical texts, manage business knowledge, develop automated migration methods, use software design patterns","tools for software configuration management, computer programming, service-oriented modelling, integrated development environment software, debugging tools","use automatic programming, develop creative ideas, adapt to changes in technological development plans, migrate existing data, use logic programming, integrate system components, collect customer feedback on applications, use concurrent programming, design user interface, use functional programming, use object-oriented programming","ML (computer programming), Hybrid model, Apache Maven, Groovy, Pascal (computer programming), Internet of Things, SAS language, KDevelop, SaaS (service-oriented modelling), Jenkins (tools for software configuration management), security legislation, Common Lisp, Python (computer programming), Ansible, C++, software anomalies, COBOL, Xcode, Open source model, Scala, Ruby (computer programming), Haskell, VBScript, World Wide Web Consortium standards, Scratch (computer programming), ASP.NET, AJAX, SAP R3, Puppet (tools for software configuration management), Visual Studio .NET, Assembly (computer programming), Java (computer programming), C#, PHP, Microsoft Visual C++, MATLAB, Salt (tools for software configuration management), Objective-C, ABAP, Outsourcing model, object-oriented modelling, APL, JavaScript, Lisp, OpenEdge Advanced Business Language, STAF, Eclipse (integrated development environment software), R, Swift (computer programming), Prolog (computer programming), TypeScript, Perl"
auditor manager,"auditor managers monitor auditors responsible for auditing information systems, platforms, and operating procedures in accordance with established corporate standards for efficiency, accuracy and security. They evaluate infrastructure in terms of risk to the organisation and establish controls to mitigate loss. They determine and recommend improvements in the current risk management controls and in the implementation of system changes or upgrades.","audit manager, auditor managers, information technology audit manager, IT audit manager","monitor technology trends, implement risk management, perform contract compliance audits, develop audit plan, prepare financial auditing reports, ensure adherence to organisational standards, identify legal requirements, execute audits, manage standard enterprise resource planning system, develop workflow, ensure compliance with legal requirements, build business relationships, manage IT security compliances","quality standards, control objectives for information and related technology, project management, audit techniques, cyber security","implement corporate governance, use markup languages, develop information security strategy, manage changes in system, provide technical documentation, coach employees, ensure information privacy, train employees, develop test suite","PHP, organisational resilience, information confidentiality, information structure, security standards, systems development life-cycle, process quality models, web programming, AJAX, JavaScript, quality policy, cloud technologies, security legislation, legal requirements of products"
blockchain architect,"Blockchain architects are system architects that are specialized in blockchain-based solutions. They design architecture, components, modules, interfaces, and data for a decentralized system to meet specified requirements.","DLT specialist, blockchain technology specialist, blockchain engineer, decentralized ledger technology specialist","define technical requirements, create business process models, define software architecture, analyse system, interpret technical requirements, design information system","principles of distributed ledger technology, business processes, blockchain openness, blockchain platforms, smart contract, design thinking, systems development life-cycle, blockchain consensus mechanisms","develop software prototype, design cloud architecture, debug software","data analytics, cloud technologies, software components libraries, statistics, SaaS (service-oriented modelling), decentralized application frameworks, encryption"
blockchain developer,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.","blockchain development engineer, blockchain engineer, decentralized ledger technology specialist, DLT engineer, DLT specialist","analyse decentralised applications, debug software, design process for blockchain-based systems, develop blockchain innovative architectures, evaluate blockchain architectures, explain blockchain implications, explain distributed ledger technologies principles, identify blockchain innovation opportunities, implement smart contracts, interpret technical requirements, outline blockchain-based identity management, recognise blockchain application areas, recognise blockchain risks, use software design patterns, use software libraries, utilise computer-aided software engineering tools","debugging tools, blockchain, blockchain application areas, blockchain applications, blockchain applications security principles, blockchain architecture, blockchain components, blockchain consensus mechanisms, blockchain design patterns, blockchain history, blockchain mining principles, blockchain openness, blockchain platforms, blockchain terminology, blockchain-based business models, blockchain-based services regulation, computer programming, decentralised identifiers, decentralized application frameworks, digital identity management, distributed ledger technologies consensus protocols, distributed ledger technologies vulnerabilities, distributed ledger technology, game theory, smart contract, smart contract programming languages, software components libraries","adapt to changes in technological development plans, design user interface, implement front-end website design, use markup languages","Angular, C++, encryption, Java (computer programming), JavaScript, Scala, Solidity, TypeScript, Vyper, cloud technologies, cryptocurrency, data analytics, service-oriented modelling"
business analysis manager,business analysis managers identify areas where information system changes are needed to support business plans and monitor the impact in terms of change management. They contribute to the general functional requirements of the business organisation. business analysis managers analyse business needs and translate them into solutions.,"business analysis managers, IT business analysis director, IT business analysis manager, IT commercial analysis manager, commercial analysis manager, lead IT business analyst","track key performance indicators, implement strategic planning, create business process models, propose solutions to business problems, design process, coordinate technological activities, provide consulting advice, manage project, improve business processes, provide cost benefit analysis reports, analyse business requirements, define technical requirements, write work-related reports, make strategic business decisions, perform business analysis","business process modelling, decision support systems, business processes, security legislation","execute analytical mathematical calculations, communicate with customers, perform data mining, provide training on technological business developments, apply change management, use different communication channels, adapt to changing situations","business strategy concepts, systems development life-cycle, data mining, information extraction, market, visual presentation techniques"
business analyst,"business analysts are in charge of analysing and designing an organisation's processes and systems, assessing the business model and its integration with technology. They also identify change needs, assess the impact of the change, capture and document requirements and then ensure that these requirements are delivered whilst supporting the business through the implementation process.","business analysts, business process specialist, IT business analyst","define technical requirements, interact with users to gather requirements, identify legal requirements, analyse the context of an organisation, translate requirement concepts into visual design, analyse business requirements, provide cost benefit analysis reports, apply change management, identify customer requirements, create business process models, propose solutions to business problems, implement strategic planning, analyse business processes","business process modelling, product usage risks analysis, legal requirements of products, business requirements techniques","provide user documentation, manage project, execute analytical mathematical calculations, design process","organisational resilience, unstructured data, innovation processes, business strategy concepts, information architecture, market, information categorisation, business intelligence, systems development life-cycle, decision support systems, internal risk management policy, visual presentation techniques, cloud technologies, business systems, information extraction"
capacity planner,"capacity planners ensure that the capacity of services and infrastructure is able to deliver agreed service level targets in a cost effective and timely manner. They also consider all resources required to deliver the appropriate service, and plan for short, medium, and long term business requirements.","performance manager, capacity planners, capability manager, IT capability planner, IT capacity planner","forecast workload, provide cost benefit analysis reports, analyse business requirements, perform resource planning, plan capacity, perform business analysis, develop financial statistics reports, carry out statistical forecasts, improve business processes, apply company policies, ensure adherence to organisational standards","crowdsourcing strategy, outsourcing strategy, statistical analysis system software, capacity planning strategies, infrastructure, insourcing strategy","perform project management, coordinate technological activities, collect customer feedback on applications, execute audits, design database scheme, use different communication channels, provide consulting advice, create solutions to problems, use scripting programming, create database diagrams, manage system deployment, perform troubleshooting, provide user documentation, administer system, design process","cloud technologies, security standards, MDX, LDAP, query languages, LINQ, resource description framework query language, business process modelling, N1QL, XQuery, systems development life-cycle, labour legislation, SPARQL, process quality models"
change and configuration manager,"change and configuration managers organise and implement a process to manage changes throughout the lifecycle of assets such as software, applications, systems, etc. change and configuration managers have a sound knowledge of the main technologies and processes used in system engineering and to manage the lifecycle of systems and subsystems.","configuration manager, application lifecycle manager, devops specialist, software change and configuration manager, devops engineer","provide technical documentation, manage virtualisation environments, administer system, perform project management, build business relationships, deploy systems, use scripting programming, integrate system components, manage software releases, train employees, manage changes in system, develop automated migration methods","process quality models, DevOps, project management methodologies, project configuration management, tools for software configuration management","design cloud architecture, migrate existing data, apply change management, perform software unit testing, apply operations for an ITIL-based environment, perform software recovery testing, utilise computer-aided software engineering tools","control objectives for information and related technology, Apache Maven, STAF, embedded systems, Jenkins (tools for software configuration management), Vagrant, Chef (tools for software configuration management), Salt (tools for software configuration management), Puppet (tools for software configuration management), Codenvy, computer programming, Octopus Deploy, integrated development environment software"
chief security officer,"Chief security officers protect company and employee information against unauthorized access. They also define the Information System security policy, manage security deployment across all Information Systems and ensure the provision of information availability.","fead of IT security, chief information security officer, chief security officers, head IT security officer, CISO","lead disaster recovery exercises, manage IT security compliances, ensure adherence to organisational standards, utilise decision support system, ensure information privacy, manage disaster recovery plans, maintain plan for continuity of operations, ensure compliance with legal requirements, monitor technology trends, implement corporate governance, implement risk management","information security strategy, network security risks, decision support systems, organisational resilience, cyber security, security standards, security legislation, audit techniques","train employees, manage staff, use different communication channels, optimise choice of solution, create solutions to problems, coordinate technological activities","ML (computer programming), C#, C++, Swift (computer programming), APL, system user requirements, process quality models, Visual Studio .NET, Ruby (computer programming), ABAP, Python (computer programming), Lisp, Groovy, CoffeeScript, PHP, Perl, Java (computer programming), SAS language, cyber attack counter-measures, Smalltalk (computer programming), internet governance, Microsoft Visual C++, encryption, Pascal (computer programming), Haskell, SAP R3, MATLAB, Assembly (computer programming), ASP.NET, software anomalies, Internet of Things, Scratch (computer programming), computer programming, Prolog (computer programming), OpenEdge Advanced Business Language, recovery techniques, AJAX, R, computer forensics, COBOL, VBScript, TypeScript, Common Lisp, tools for test automation, JavaScript, Scala, World Wide Web Consortium standards, Erlang, web application security threats, Objective-C"
cloud architect,"Cloud architects are responsible for converting the technical features of a project into the architecture to lead to the final product. To develop technical cloud strategy, they have in-depth knowledge of the architectural principles and services, assisting with cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. They typically perform in a pre-sales capacity and are often asked to deliver proof-of-concept projects, topical workshops, and lead implementation projects. They team up with DevOps engineers to build the appropriate technologies.","aws cloud architect, cloud solutions consultant","collaborate with engineers, deploy cloud resource, design cloud architecture, design cloud networks, plan migration to cloud",cloud technologies,"automate cloud tasks, coordinate engineering teams, design database in the cloud, design for organisational complexity, develop with cloud services, do cloud refactoring","Agile development, Agile project management, DevOps, architectural frameworks, cloud security and compliance"
cloud DevOps engineer,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.","cloud automation engineer, cloud devops, cloud devops solution specialist, cloud infrastructure devops engineer, devops, devops administrator, devops analyst, devops architect, devops consultant, devops consultant engineer, devops engineer, devops specialist, site reliability devops engineer","automate cloud tasks, deploy cloud resource, design cloud architecture, design cloud networks, design database in the cloud, design for organisational complexity, develop with cloud services, do cloud refactoring, implement recovery system, implement cloud security and compliance, manage cloud data and storage, manage disaster recovery plans, plan migration to cloud","DevOps, system programming, JavaScript, Jenkins (tools for software configuration management), cloud monitoring and reporting, cloud security and compliance, cloud technologies, computer engineering, integrated development environment software, software frameworks, system backup best practice",None,"ASP.NET, Agile development, Eclipse (integrated development environment software), project management methodologies, KDevelop, application usability"
