Skill,Category,Mapped Category
3D lighting,General Knowledge,Other
3D modelling,General Knowledge,Software Design
3D texturing,General Knowledge,Other
ABAP,Tool/Software,computer programming
accessibility standards,General Knowledge,Other
Adobe XD,Tool/Software,graphics editor software
Agile development,General Knowledge,Project Management
Agile project management,General Knowledge,Project Management
AJAX,Tool/Software,web programming
algorithms,General Knowledge,Programming Concepts
analog electronics theory,General Knowledge,Engineering
Android,Tool/Software,mobile operating systems
Angular,Tool/Software,web programming
AngularJS,Tool/Software,web programming
Ansible,Tool/Software,tools for software configuration management
Ant,Tool/Software,tools for software configuration management
Apache Airflow,Tool/Software,transformation and loading tools
Apache Maven,Tool/Software,tools for software configuration management
Apache NiFi,Tool/Software,transformation and loading tools
APL,Tool/Software,computer programming
Appium,Tool/Software,tools for test automation
application usability,General Knowledge,Other
architectural frameworks,General Knowledge,Other
ASP.NET,Tool/Software,web programming
Assembly,Tool/Software,computer programming
Atom,Tool/Software,integrated development environment software
audit techniques,General Knowledge,Other
authoring software,General Knowledge,Other
AWS,Tool/Software,cloud technologies
Azure,Tool/Software,cloud technologies
Babel,Tool/Software,tools for software configuration management
Bamboo,Tool/Software,tools for software configuration management
behavioural science,General Knowledge,Other
BigQuery,Tool/Software,data warehouse
Bitbucket,Tool/Software,tools for software configuration management
BlackBerry,Tool/Software,web programming
blockchain,General Knowledge,AI & Machine Learning
blockchain application areas,General Knowledge,AI & Machine Learning
blockchain applications,General Knowledge,AI & Machine Learning
blockchain applications security principles,General Knowledge,AI & Machine Learning
blockchain architecture,General Knowledge,AI & Machine Learning
blockchain components,General Knowledge,AI & Machine Learning
blockchain consensus mechanisms,General Knowledge,AI & Machine Learning
blockchain design patterns,General Knowledge,AI & Machine Learning
blockchain history,General Knowledge,AI & Machine Learning
blockchain openness,General Knowledge,AI & Machine Learning
blockchain platforms,General Knowledge,AI & Machine Learning
Bootstrap,Tool/Software,style sheet languages
Bower,Tool/Software,tools for software configuration management
Burp Suite,Tool/Software,cyber security
business intelligence,General Knowledge,Business & Marketing
business process modelling,General Knowledge,Software Design
business processes,General Knowledge,Business & Marketing
business requirements techniques,General Knowledge,Business & Marketing
business strategy concepts,General Knowledge,Business & Marketing
business systems,General Knowledge,Business & Marketing
C#,Tool/Software,computer programming
C++,Tool/Software,computer programming
CA Datacom/DB,Tool/Software,database development tools
call quality assurance management,General Knowledge,Other
capacity planning strategies,General Knowledge,Other
Cassandra,Tool/Software,database development tools
characteristics of products,General Knowledge,Other
characteristics of services,General Knowledge,Other
Chart.js,Tool/Software,data analytics
Chef,Tool/Software,tools for software configuration management
CircleCI,Tool/Software,tools for software configuration management
Cisco,General Knowledge,Other
cloud monitoring and reporting,General Knowledge,Cloud Computing
cloud security and compliance,General Knowledge,Cloud Computing
cloud technologies,General Knowledge,Cloud Computing
COBOL,Tool/Software,computer programming
Code::Blocks,Tool/Software,integrated development environment software
Codenvy,General Knowledge,Programming Concepts
CoffeeScript,Tool/Software,computer programming
cognitive computing,General Knowledge,Other
cognitive psychology,General Knowledge,Other
Common Lisp,Tool/Software,computer programming
communications protocols,General Knowledge,Other
computer engineering,General Knowledge,Engineering
computer forensics,General Knowledge,Other
computer graphics,General Knowledge,Other
computer programming,General Knowledge,Programming Concepts
computer science,General Knowledge,Other
computer simulation,General Knowledge,Other
computer technology,General Knowledge,Other
concepts of telecommunications,General Knowledge,Other
content development processes,General Knowledge,Other
content marketing strategy,General Knowledge,Business & Marketing
control objectives for information and related technology,General Knowledge,Other
copyright legislation,General Knowledge,Governance & Compliance
CouchDB,Tool/Software,database development tools
crowdsourcing strategy,General Knowledge,Business & Marketing
CSS,Tool/Software,style sheet languages
CSS3,Tool/Software,style sheet languages
Cucumber,Tool/Software,tools for test automation
cyber attack counter-measures,General Knowledge,Security
cyber security,General Knowledge,Security
Cypress,Tool/Software,tools for test automation
D3.js,Tool/Software,data analytics
data analytics,General Knowledge,Data & Analytics
data engineering,General Knowledge,Data & Analytics
data extraction,General Knowledge,Data & Analytics
data mining,General Knowledge,Data & Analytics
data models,General Knowledge,Data & Analytics
